music query,noise type,noise intensity,result,NCD,expected
Post Malone - White Iverson_segment6_white_intensity_0.05.freqs,segment6_white,0.05,Post Malone - White Iverson.freqs,0.992189,true
The Weeknd Timeless with Playboi Carti (Official Music Video)_segment8_white_intensity_0.25.freqs,segment8_white,0.25,The Weeknd Timeless with Playboi Carti (Official Music Video).freqs,0.989177,true
Avicii - Wake Me Up (Official Video)_segment5_pink_intensity_0.05.freqs,segment5_pink,0.05,Avicii - Wake Me Up (Official Video).freqs,0.994734,true
Travis Scott - NO BYSTANDERS (Audio)_segment7_pink_intensity_0.3.freqs,segment7_pink,0.3,Travis Scott - NO BYSTANDERS (Audio).freqs,0.989308,true
The Weeknd Timeless with Playboi Carti (Official Music Video)_segment1_brown_intensity_0.3.freqs,segment1_brown,0.3,Post Malone - White Iverson.freqs,1.00136,false
The Weeknd Timeless with Playboi Carti (Official Music Video)_segment5_brown_intensity_0.05.freqs,segment5_brown,0.05,The Weeknd Timeless with Playboi Carti (Official Music Video).freqs,0.988001,true
Post Malone - White Iverson_segment10_pink_intensity_0.4.freqs,segment10_pink,0.4,Post Malone - White Iverson.freqs,1.00096,true
Avicii - Wake Me Up (Official Video)_segment7_white_intensity_0.4.freqs,segment7_white,0.4,Avicii - Wake Me Up (Official Video).freqs,0.995312,true
Avicii - Wake Me Up (Official Video)_segment6_pink_intensity_0.25.freqs,segment6_pink,0.25,Avicii - Wake Me Up (Official Video).freqs,0.997271,true
Post Malone - White Iverson_segment1_brown_intensity_0.3.freqs,segment1_brown,0.3,Coldplay - Viva La Vida (Official Video).freqs,1.00142,false
The Weeknd Timeless with Playboi Carti (Official Music Video)_segment3_pink_intensity_0.2.freqs,segment3_pink,0.2,The Weeknd Timeless with Playboi Carti (Official Music Video).freqs,0.9896,true
Travis Scott - NO BYSTANDERS (Audio)_segment9_brown_intensity_0.5.freqs,segment9_brown,0.5,Travis Scott - NO BYSTANDERS (Audio).freqs,0.999233,true
Post Malone - White Iverson_segment6_white_intensity_0.25.freqs,segment6_white,0.25,Post Malone - White Iverson.freqs,0.991231,true
Avicii - Wake Me Up (Official Video)_segment8_pink_intensity_0.5.freqs,segment8_pink,0.5,Avicii - Wake Me Up (Official Video).freqs,1.00222,true
Post Malone - White Iverson_segment6_brown_intensity_0.4.freqs,segment6_brown,0.4,Post Malone - White Iverson.freqs,1.00004,true
Avicii - Wake Me Up (Official Video)_segment4_brown_intensity_0.35.freqs,segment4_brown,0.35,Post Malone - White Iverson.freqs,1.00081,false
The Weeknd Timeless with Playboi Carti (Official Music Video)_segment3_brown_intensity_0.5.freqs,segment3_brown,0.5,Taylor Swift - Fortnight (feat. Post Malone) (Official Music Video).freqs,0.999955,false
